Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly values

Station:                  St. Gallen
Altitude [m asl]:         776 m
Coordinates:              47° 25.5' N / 9° 23.9' E

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            2.02.2022


Year  Month        Temperature      Precipitation  
1907      4                4.2              169.2  
1907      5               11.4              113.6  
1907      6               13.1              144.5  
1907      7               13.4              181.2  
1907      8               15.7               99.2  
1907      9               12.7               62.8  
1907     10                9.5               56.0  
1907     11                3.9               22.7  
1907     12                1.9              122.7  
1908      1               -3.7               42.6  
1908      2               -0.9               97.3  
1908      3                0.5               56.7  
1908      4                3.4              123.7  
1908      5               12.1              158.4  
1908      6               16.0              103.6  
1908      7               14.9              236.0  
1908      8               13.3               96.8  
1908      9               10.8              202.7  
1908     10                7.2                3.4  
1908     11                0.9               65.9  
1908     12               -0.9               30.6  
1909      1               -3.9               31.6  
1909      2               -4.2               25.6  
1909      3                0.7               63.5  
1909      4                7.1               85.5  
1909      5                9.0               85.7  
1909      6               12.0              249.1  
1909      7               13.2              207.2  
1909      8               14.2              203.8  
1909      9               11.3               97.9  
1909     10                9.3               78.9  
1909     11                1.1               69.9  
1909     12                1.3               97.9  
1910      1               -0.4              157.3  
1910      2                0.4               87.9  
1910      3                2.3               54.5  
1910      4                5.1              154.6  
1910      5                9.3              114.1  
1910      6               14.0              252.3  
1910      7               13.5              220.6  
1910      8               14.4              166.6  
1910      9                9.4              150.0  
1910     10                8.4               64.3  
1910     11                2.1              186.7  
1910     12                2.7               62.7  
1911      1               -4.7               34.3  
1911      2               -0.2               43.7  
1911      3                2.8               49.3  
1911      4                4.9              108.9  
1911      5               10.0              130.4  
1911      6               12.7              205.2  
1911      7               17.9               15.0  
1911      8               17.8              100.7  
1911      9               13.7              151.2  
1911     10                7.6               65.2  
1911     11                4.6               47.3  
1911     12                2.1               65.2  
1912      1               -0.6               85.6  
1912      2                3.4               76.3  
1912      3                5.0               74.1  
1912      4                4.4               90.8  
1912      5               10.9              223.9  
1912      6               13.6              166.7  
1912      7               14.5               54.4  
1912      8               12.0              250.7  
1912      9                6.8               93.8  
1912     10                6.2              175.0  
1912     11                0.5               59.3  
1912     12                1.0               48.3  
1913      1               -0.4               86.9  
1913      2               -1.0               29.1  
1913      3                5.3               81.8  
1913      4                5.3              109.9  
1913      5               10.0               94.7  
1913      6               12.7              176.8  
1913      7               12.2              209.4  
1913      8               13.3              188.8  
